question,answer
@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is openedð¡ð¡ð¡,119236
@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,119238
"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",119241
@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,119243
"@105836 Have you tried from another device, Miriam ^MM",119244
"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too",119245
@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?,119240
@105836 That's what we're here for Miriam ð  The team should send you an email shortly ^HP,119242
"@105838 @AppleSupport Me too am suffering , hope the can find a solution",119248
"@AppleSupport hi #apple, Iâve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?","119249,119251"
I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,119252
"@105840 Hi there! What device is this happening on? If you could also let us know the Android and Spotify versions you're using, that'd be great /AY",119255
@SpotifyCares Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?,119257
@105840 Thanks. The distance could possibly affect playback. Does logging out &gt; restarting your device &gt; logging back in make a difference? /AY,119258
"@SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!",119259
"@105840 That's great to hear. If anything comes up, just let us know. We'll carry on helping out ð /AY",119260
@SpotifyCares Brilliant thanks ð,119261
@76495 @91226 Please help! Spotify Premium skipping through songs constantly on android tablet &amp; bluetooth speaker. Tried everything!,119254
"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",119262
First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates,"119264,119266"
Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,119267
"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",119269
@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,119270
Youâve paralysed my phone with your update @76099 grrrrrrrrrr,119271
"@O2 I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name? https://t.co/GLtz4XHcex",119273
"My internet is down and xfinity talkin about 24-72 hours... yâall have the game messed up. 

@77245",119275
@76803  I service last 40 min sprint can I get a refund https://t.co/wYPw9hP6wt,119277
So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,119279
@105847 Hi Harry! Help's here. Can you check if logging out &gt; restarting your device &gt; logging back in makes a difference? Keep us posted /MU,119282
@SpotifyCares seems to be working at this stage. Will let you know if it happens again. Cheers,119284
@105847 Sure thing. We'll keep an eye out for your update /MU,119285
@SpotifyCares problem has come back again today. is there some kind of bug?,119286
"@105847 Thanks for giving us a nudge about this. What device, operating system, and Spotify version is this happening on? /AY",119287
"@SpotifyCares It's on a Macbook Air (early 2014), running High Sierra, spotify version 1.0.65.320.gac7a8e02",119288
@SpotifyCares i've been having issues with playback. songs have been stopping midway through and won't restart unless i close and reopen app,119281
@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,"119290,119291"
@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - itâs a disgrace - used to get 2 days,119289
"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life outð©",119293
"@105850 Once the points load and you hit the number, you get it immediately! You'll even receive a congrats email. Are you almost there? ^AC",119296
@southwestair Just curious....will I get the companion pass the exact moment I get enough points? It will I have to wait? Thanks!,119295
@AppleSupport I need a new code for my I-store. I havenât recd any but msg is too many sent. Help!,119298
@76099 @AppleSupport fix this update. Itâs horrible,119300
"@105842 I appreciate it's after 15:30 now, so hopefully you will depart very soon. We're sorry for any inconvenience the delay has caused. 2/2 ^JR",119302
"@British_Airways Thanks for your answer. Response onsite was that Aircraft will not depart today, so rebooking to @105853 with now 4h delay...",119303
"@105854 I am sorry for the poor experience. Can you please DM the full service address and name on the account, as we ass... https://t.co/JEZhqGdBMd",119305
@76501 I guess this means free cable for the neighborhood. https://t.co/FBgEE9YXPm,"119304,119307"
"@105855 Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",119309
@Tesco The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?,119308
"@105855 Hi Thomas, this is correct but this helps our store colleagues judge age and protect them from making underage sales. Amanda","119310,119312"
@Tesco Uk offlicense law is 18. Not 25,119311
"@105855 Hi Thomas, we operate a Think 25 policy at our stores. I'd be flattered to be ID'd. :-) - Helena",119313
Got id's @Tesco for buying one Adnams Broadside. Is being blind part of the job-spec? I am 35 and 99 kilos.,"119316,119314"
"@105856 Hi there, could you try deleting your cache and cookies and reinstalling the app if using it? This should fix the issue :) - Dani",119318
@Tesco Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?,119320
"@105856 Hi there, as long as you sign out of your account prior to deleting your cache &amp; cookies, you'll still have a full basket :) Thanks - Mike",119321
@Tesco Done all that. Still telling me there are no delivery slots whatsoever.,119322
"Hey @Tesco, your website's broken. It's telling me there are no delivery slots for the next 3 weeks, which I find slightly unlikely.",119317
@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,119323
@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,119324
My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,119325
@HPSupport Problem with printhead  Serial# TH536D1HN #hpcswus #hpprnt,119327
@105860 I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle,119329
They reschedule my shit for tomorrow https://t.co/RsvZcT982t,119330
"@105861 Hey Sara, sorry to hear of the issues you are having, can I ask if it's the lay out or just the speed of the website responding? TY - Chris",119333
@Tesco bit of both - finding the layout cumbersome and when removing an item from faves - getting a huge slowdown. Not keen on the thin green line https://t.co/9281OKEebk,"119335,119336"
